Height,Width,Hue,Times moved,Hours,Priority
7.369934322,26.39677119,-0.974232261,1,7,low
9.224971643,23.21394745,-0.671724203,0,11,low
7.825237207,13.59718364,-0.393004916,4,7,high
8.246716652,27.37265925,-0.78330348,3,3,high
7.218830872,28.01102006,0.261747838,1,22,high
9.162282192,14.82182907,-0.732567894,1,30,high
7.252763214,31.15766035,-0.74841807,0,12,low
8.0454332,27.49937742,-0.049595748,0,34,high
9.396391301,17.296791,-0.056154311,1,5,low
10.55435372,18.03544452,-0.582856874,0,8,low
8.672038555,19.91916481,-0.05764383,4,4,high
12.01065592,19.17679669,0.520587329,1,9,low
9.933422139,26.14726936,0.930394327,0,9,low
10.28087385,26.37564557,-0.426665383,1,7,low
9.223042223,18.94411513,0.099772348,4,46,high
8.739992869,23.42923935,0.959684541,1,6,low
7.498165364,27.92506972,0.519060907,1,22,high
10.1360867,19.79871485,0.615890132,2,7,low
8.258829494,16.37451205,-0.477169864,2,11,low
8.820271109,20.73659659,0.742151088,0,3,low
11.35810519,20.38252064,-0.81983627,1,9,low
9.424293918,19.11279018,0.834086298,1,4,high
8.030445555,24.11650017,0.054571308,3,21,high
9.161785823,23.00783865,0.222728178,2,12,low
7.572622753,33.3888202,-0.514976541,3,24,high
8.21823968,22.40682192,0.254442591,0,40,high
9.565152613,24.47438967,-0.240447884,2,5,low
13.04926803,21.50716725,0.731754547,0,7,low
7.858403181,21.50049675,0.6540742,2,12,high
7.837033003,31.51171122,-0.214101993,0,26,high
11.59334857,20.10078236,-0.975457946,1,3,low
7.467578345,24.23470443,-0.348722455,1,44,high
7.929269836,28.57139001,0.989574463,2,6,low
7.062491569,31.03311713,0.996265631,4,33,high
6.507724493,27.27198409,0.937424157,4,35,high
10.7684605,22.05675632,0.811085366,0,12,low
10.42634406,16.32564068,-0.528831898,0,3,low
10.96980551,25.5687238,0.270123338,2,11,low
8.468318337,21.88286737,0.466322452,0,3,low
8.687053971,24.01191581,0.901949313,1,43,high
8.40873521,26.70099303,-0.94362453,0,37,high
11.89707303,18.46890651,0.50050523,1,10,low
11.58610728,19.21048045,0.408772772,0,9,low
11.01508068,17.75136462,-0.96208901,0,10,low
11.56821837,24.01398745,-0.873611029,0,11,low
8.807759666,23.20458013,-0.374027414,2,4,low
8.707757198,28.41251425,0.131388838,1,10,high
7.253131458,19.70661625,0.906091986,0,39,high
10.2270324,27.13217967,-0.525348761,1,5,low
10.58092757,22.76313339,0.415545831,0,10,low
9.167314135,19.91952794,0.267699846,0,3,low
8.743177563,27.99577639,0.44265175,0,43,high
9.126631787,28.73273456,-0.650494442,0,35,high
11.42669421,22.45168543,0.603162213,1,8,low
9.366889754,23.30385564,0.662458172,3,18,high
9.923359412,29.07658852,-0.313630702,0,4,low
10.28570435,15.10697303,0.631967969,0,4,low
9.862830489,27.44366312,-0.189792056,0,12,low
7.713632148,34.23470862,0.42299237,3,11,high
11.03359341,24.81104979,-0.707785909,0,5,low
7.496606482,35.08222142,-0.008551754,2,43,high
10.33127808,20.78104426,-0.850936126,2,24,high
9.438881598,24.81469331,-0.108891252,2,8,low
7.961206035,22.81273884,-0.914517793,3,9,high
7.685020133,24.25902184,-0.363479803,1,10,low
11.21187595,19.46772225,0.851227857,2,10,low
8.174050792,28.54130328,0.383234425,1,12,low
8.526170196,21.08627994,-0.751434186,0,43,high
8.16298555,26.67489749,-0.738162646,0,34,high
8.782125859,32.49578655,0.696668855,1,22,high
5.951621089,35.37257026,0.90863171,3,10,high
8.547818569,29.68217088,0.299685911,0,14,high
9.401326797,30.86696858,0.391973105,2,8,low
7.012207148,32.43269674,-0.086414972,0,36,high
11.88377153,14.00749498,-0.626024956,0,3,low
13.26906289,18.27004751,0.231724499,1,3,low
7.65162851,33.20010988,0.529642826,3,48,high
10.36686566,23.31911175,-0.052449462,0,6,low
7.553120271,28.03197239,-0.596674361,4,6,high
7.255684337,36.18836706,0.833800952,4,41,high
9.829043247,20.66210221,-0.754410523,3,5,high
7.82261185,23.71368796,-0.46890494,1,34,high
9.247413643,22.00975226,0.258459477,0,46,high
8.894143319,31.67266364,0.437552588,0,4,low
8.026251173,32.57794969,-0.516599734,3,5,high
6.321999159,27.36749744,-0.883304746,2,3,high
10.89226482,22.17177426,0.80634948,0,10,low
9.085345734,27.31514721,-0.289743319,2,10,low
7.494971294,19.59079854,0.473484544,1,25,high
7.511802416,18.84949887,-0.285053246,0,3,high
7.548783896,21.57409638,0.43019517,0,34,high
7.050696435,28.95974344,-0.594050436,0,47,high
7.906677114,26.00072936,0.263452018,2,4,high
7.411881874,35.56750527,0.532704215,2,7,low
7.565916779,30.35655203,-0.825530304,2,44,high
11.00809004,17.57981666,-0.50839358,1,6,low
7.55132486,21.14730883,-0.082369677,2,24,high
7.719034942,16.27483492,-0.894682103,1,16,high
10.36280813,22.55101861,-0.110954764,0,5,low
9.023229085,23.8812471,0.677040557,1,12,low
7.573316123,21.13783633,0.526924638,1,38,high
7.080201201,22.33027245,0.315557246,4,10,high
11.1747005,22.26425576,-0.341383884,2,8,low
10.74903587,19.49615733,-0.763295007,2,7,low
10.29376827,22.58962269,0.525050049,1,10,low
7.26407159,25.41227683,-0.3566743,4,13,high
7.294046101,25.12864118,-0.618943185,4,45,high
8.736633494,29.4879117,-0.129512937,1,41,high
10.19127656,22.32882083,0.621140091,0,5,low
10.80947778,29.29214382,0.212637143,1,6,low
8.367118066,22.79963226,-0.355695021,0,37,high
9.286027256,17.30062289,0.344773014,2,9,low
9.64323006,22.32246832,0.58862165,0,3,low
12.53672177,15.36665788,-0.129381776,0,3,low
9.36775223,15.06129878,0.449467428,1,12,low
9.554073542,20.84180102,-0.91568832,2,10,low
10.20649132,17.49316825,-0.026982694,0,9,low
9.775642072,14.81092176,0.587197626,2,11,low
10.59092186,22.93416808,0.230557189,4,31,high
9.57619037,33.16729392,-0.852160816,2,5,low
9.931205362,27.42235281,-0.20611726,2,11,low
8.956415392,27.31889278,-0.631972005,4,35,high
9.473425693,16.09540212,0.735413101,0,11,low
9.078188851,21.91280097,0.660824184,1,11,low
8.01587972,26.45252444,0.048700412,2,11,low
8.145137293,22.21612001,-0.699674077,3,15,high
9.335684153,17.81899679,-0.061008893,0,8,high
9.364374515,23.51354207,0.058544377,0,7,low
8.273457585,14.78616521,0.273667141,1,44,high
6.214414634,27.1736635,-0.214369211,1,43,high
7.665224915,24.42709448,-0.725461894,1,39,high
7.705256915,24.10989797,-0.055264032,4,47,high
10.18334215,25.91493125,-0.07034512,1,33,high
9.714233442,25.74093206,-0.637529709,0,7,low
7.09022557,24.86303671,0.647027236,0,4,high
9.076919341,25.93450558,-0.54467326,1,11,low
7.213584267,23.73012079,-0.70892875,4,34,high
10.53490413,23.89131664,0.350644477,0,3,high
8.896833884,18.61457056,-0.490487506,3,48,high
8.480578997,20.98973204,0.956634238,2,27,high
11.06305638,18.47855507,-0.659832018,1,9,low
8.183356075,15.75533671,-0.096142425,0,3,high
7.212851101,18.64334013,-0.691975802,0,5,low
7.719849981,28.67703162,0.024142145,4,17,high
10.98713404,25.92866715,0.862698351,1,10,low
9.190878931,28.23227472,-0.98889517,1,4,low
12.63228578,14.42338809,-0.442860477,0,7,low
7.79134895,29.01339281,-0.313682592,1,11,low
10.6599118,25.74769775,-0.273386361,1,4,low
12.37968182,19.78663049,-0.644481702,2,3,low
11.54537258,15.30150868,-0.756582767,1,12,low
7.868182577,29.16958134,-0.441075518,0,6,low
12.44691898,17.28265975,-0.322301887,2,12,low
8.320215389,28.63239684,0.240554532,2,38,high
7.779544843,31.95784783,-0.888210818,2,6,high
8.67325488,28.73618712,-0.459820983,2,28,high
7.32159837,28.75218646,0.902496078,3,43,high
9.275702775,31.00133514,0.239050827,1,11,low
10.73405452,21.84031767,-0.277817902,2,7,low
9.921569622,24.43488573,-0.626493843,1,10,low
6.478321874,27.06886623,-0.426191189,3,40,high
10.99100339,18.03391501,-0.547340163,2,14,high
7.471397417,30.86431279,0.898517921,4,37,high
7.65833459,20.21984891,0.55469126,0,23,high
8.394798436,20.44878105,0.295512895,3,8,high
8.332401558,23.75381665,0.274607186,1,6,low
12.40713639,16.87321136,-0.190583232,2,4,low
10.17794629,16.47979039,0.418741248,2,9,low
9.718884779,22.82711864,-0.765243155,0,3,low
8.046858728,21.71885158,0.765510579,2,18,high
12.38799368,25.74962,0.014240288,2,11,low
13.25253081,16.58814805,0.248436791,1,7,low
8.394068534,27.70572353,-0.572315776,1,8,low
9.793062896,18.70940524,0.123307098,0,9,low
9.222229221,26.6624321,-0.078202505,1,8,low
7.809737388,25.75441817,0.985073806,2,41,high
10.68269308,25.7426963,-0.329235006,1,12,low
9.411976736,21.79344799,0.963886763,4,27,high
9.637377715,28.72349402,-0.05185411,0,12,low
10.14077943,18.53478396,0.904443058,4,33,high
8.332465401,26.20953022,0.808708993,1,5,low
9.501312938,32.96214348,-0.093628918,1,10,low
10.07379428,25.87137145,0.313326232,0,8,high
6.939971817,32.61455176,0.738760359,0,46,high
10.35290424,21.45197454,-0.39898194,2,32,high
9.050887666,21.82959806,-0.986599862,1,21,high
10.78719467,14.04765427,0.466587012,2,4,low
8.757790342,22.19994691,-0.469422,2,42,high
9.353163255,23.69920629,0.280328966,0,11,low
8.348114985,14.57833363,0.465077896,0,25,high
9.187323862,26.54800925,0.082344418,1,11,low
6.657837686,27.77943998,-0.824688157,2,32,high
7.960619662,20.51920444,-0.013726003,0,3,low
7.677287015,20.88867056,0.577566712,1,5,high
12.26096612,19.40341552,-0.70388726,0,11,low
9.310724974,20.88708074,-0.99665422,0,26,high
7.256476,24.47486008,0.033790821,2,9,low
6.434431096,29.1317655,0.36834194,4,44,high
9.789235664,24.56551037,-0.258630413,3,45,high
8.157453307,24.34469469,-0.858367539,1,9,low
9.398468548,15.54870753,-0.172035541,1,7,low
8.734426177,16.22217786,0.239575447,3,6,high
7.035306468,26.60075985,0.2979419,1,38,high
7.236573538,25.12696132,0.378516849,4,48,high
8.805218289,27.38379852,-0.150723917,0,47,high
7.841932513,35.01403438,-0.007888904,0,14,high
8.809734242,18.91651469,0.090903951,2,6,high
7.940204788,22.96676575,0.900792592,3,7,high
9.861600301,20.50857498,0.090284438,2,9,low
9.794733941,19.66183929,-0.541342395,0,12,low
7.443343973,25.62786059,-0.092974269,2,10,high
11.71681433,18.93878951,0.312630522,2,5,low
11.44410795,22.23448207,0.769734955,0,8,low
9.81058171,16.14540151,-0.801024994,1,11,high
11.17060158,15.55950044,0.734053395,1,3,low
8.510239182,18.86589044,-0.313657507,2,3,high
8.281627849,20.9424692,-0.85995873,1,9,low
8.489302182,24.59529593,0.513292432,3,5,high
8.521746035,27.83117494,0.120599108,4,38,high
9.50900052,15.9670115,-0.572210892,3,25,high
7.556312949,25.06433081,-0.424519289,0,10,low
8.571272229,25.27028128,0.643764942,1,7,low
11.01405366,17.40477005,-0.492274103,1,5,low
7.661310971,28.22166719,0.565480664,3,40,high
8.138913423,26.76550781,0.73091451,4,14,high
9.295071869,23.52780804,-0.801612715,2,12,low
7.939799583,31.34561629,-0.509011034,1,8,high
7.215430902,18.48558776,-0.589259915,0,5,high
10.85136924,17.8977178,-0.719101002,2,8,low
6.676936202,20.1105696,-0.967047921,3,20,high
9.139103843,22.82455899,0.221695344,0,9,low
8.109068563,15.90011007,-0.852623846,3,25,high
9.767109716,15.84705629,-0.084416329,2,6,low
7.829791836,31.09428099,0.753408269,0,20,high
10.8075191,18.28084981,-0.682618577,1,18,high
8.729015012,14.78104304,0.859118808,3,29,high
9.020518115,27.73606778,0.541539267,0,40,high
10.31467032,21.38590096,0.011586568,1,4,low
7.053632084,20.90830086,-0.409367636,4,47,high
8.159233912,25.71034937,-0.871247525,3,48,high
10.43817106,13.43278387,-0.900945444,0,12,low
5.649477082,31.92015575,0.709645325,3,14,high
10.98626846,16.21278383,0.114802333,2,9,low
8.15871675,33.2357595,0.957143685,1,33,high
9.431804992,17.45965849,0.842719796,2,38,high
8.079838158,24.14962095,0.576952398,0,6,low
13.09729302,13.58848258,-0.470047745,1,11,low
8.233724694,35.16662258,-0.574040356,0,36,high
7.888156484,27.75279062,-0.321558886,3,33,high
8.726860835,23.38534085,-0.901106376,3,14,high
9.679526133,19.74164835,0.888800607,0,5,low
7.983819063,34.93797723,-0.345621116,2,5,high
10.71802674,14.68692202,0.608200064,1,8,low
7.182672211,29.7099886,0.499324869,0,17,high
11.42542856,20.32451733,-0.071190634,2,4,low
7.683204178,19.54126377,-0.815967609,4,11,high
9.42442044,24.82000218,-0.676250759,0,4,low
9.732109916,19.44521933,-0.468130713,1,3,low
8.100985574,24.4924703,0.535784703,1,46,high
9.23482574,24.1800652,0.140512221,2,7,low
10.2822901,19.79717079,-0.913989102,2,3,low
7.795168102,14.59095142,-0.343867469,4,6,high
8.433703474,25.24256755,-0.537441637,3,16,high
9.485012158,19.59190999,0.328178083,1,5,high
7.804302795,22.49181651,-0.023423809,4,43,high
8.163376563,23.74614812,0.740565503,0,40,high
13.00100958,16.48151911,-0.773660918,1,8,low
8.619711267,22.32695174,-0.087083527,2,6,low
8.01724939,29.10827489,0.287588433,1,7,high
6.856879398,30.17538522,0.222114657,1,27,high
7.299304175,22.85929681,0.481128679,1,36,high
9.529382069,22.57648992,-0.366223903,1,4,low
7.854638643,23.53210271,0.209483788,1,29,high
6.873238797,24.32296537,-0.938944915,0,17,high
8.856771206,20.03107127,0.598194925,4,41,high
9.903638612,23.24523962,0.973502496,2,8,high
9.299917679,20.29218092,0.751508649,2,5,low
8.215792777,29.37225355,0.567786286,2,8,low
10.8294644,19.73215606,-0.336719747,4,32,high
8.096688297,26.66382798,-0.604393805,2,35,high
8.961499849,27.12910585,-0.796032304,0,12,low
9.700933317,22.2061586,-0.635584378,1,5,low
7.720773022,19.26362728,-0.311726426,4,43,high
8.442814655,28.83259559,0.250348611,4,24,high
7.931296576,17.41435808,0.326044302,1,42,high
7.227026368,23.71840336,-0.462951902,3,20,high
8.140094455,20.75179291,0.696540634,4,10,high
9.992661096,18.50574629,-0.663552138,2,12,low
9.495880599,14.68165723,-0.517678363,2,10,low
9.497848499,20.0343165,-0.812526973,0,6,high
10.99073819,13.91512792,-0.83154874,0,8,low
9.125863773,24.48056952,0.194073286,0,6,low
7.231558451,27.09164913,-0.482918528,1,20,high
8.403839096,18.54091965,0.834432604,2,9,high
9.39169549,22.17142834,0.970065923,2,4,low
8.621375049,33.05407736,0.706110878,2,34,high
9.435301959,24.44473913,-0.193506675,2,9,low
10.70654706,20.32314851,0.257736108,1,11,low
7.076432421,21.1155091,0.426655582,4,34,high
9.264802562,23.08102327,0.842344457,2,9,low
10.89054407,23.81471983,-0.081156927,2,10,low
7.241473583,22.7714182,-0.975289758,0,28,high
6.93916942,22.54497411,0.776174824,3,31,high
8.002025838,18.77391295,-0.928677641,3,33,high
10.21820337,19.98464004,0.90667369,1,11,low
12.01968977,20.86216122,0.008466147,0,7,low
7.169280697,25.97422552,-0.571496613,1,35,high
9.374172035,23.94414251,0.756496202,2,28,high
7.319985534,26.20827025,-0.530040847,1,33,high
7.844243317,29.58994236,-0.262683573,0,6,high
7.513673204,23.22803179,0.472649865,0,11,low
9.785166004,24.98164491,-0.723720607,0,11,low
7.961029487,21.46791305,-0.277561098,3,7,high
7.186007867,29.46379264,0.589372676,3,6,high
7.065766062,16.38824527,0.890493256,2,7,high
8.212702337,23.2863677,0.17841611,3,24,high
10.2894091,22.11765203,0.94460647,2,5,low
9.92645967,22.2896738,-0.955299779,2,6,low
7.944041729,34.48299217,-0.889762098,3,40,high
6.941498071,26.61513096,0.542335567,3,34,high
10.31930199,25.70563626,0.1512732,1,45,high
8.707116214,33.33033944,-0.356579046,1,9,low
12.11463361,17.955631,0.451954227,1,9,low
10.23417218,17.95561452,0.712922299,4,40,high
9.438478953,28.65628467,-0.911119938,2,32,high
8.031488053,17.72056038,0.491250749,2,11,low
9.162549451,16.86071278,-0.953498408,1,24,high
9.223854655,29.86352206,0.654346056,2,4,low
6.961280651,25.5210462,-0.139101804,3,18,high
11.65284425,27.20361523,0.820154591,1,3,low
12.10473347,24.98110607,0.144581348,2,5,low
8.814814286,29.96141922,0.115505742,1,12,low
11.57321279,26.599405,0.6332474,2,7,low
10.20860671,20.53791151,-0.162003013,2,9,low
8.876483117,24.45040932,0.564211801,2,38,high
8.755220066,20.77874832,0.858790281,2,42,high
9.171350724,28.02811558,0.596795364,4,7,high
10.68161137,24.70683741,-0.0102004,1,4,low
9.252353846,24.54009314,-0.924799236,0,3,low
7.455932796,23.68327126,-0.902211889,0,20,high
7.54557928,33.08750165,-0.455736084,2,19,high
8.051884239,28.41529116,-0.175007804,0,35,high
7.770963041,25.10996211,0.321041487,2,3,low
7.128468497,18.62483126,0.475561958,4,44,high
8.352014329,23.26653409,-0.947478192,0,44,high
7.889414855,12.75008592,-0.57313613,2,7,low
7.798849999,16.57412774,-0.081505467,1,14,high
6.736293874,22.8857258,-0.840721105,2,45,high
10.39436324,15.13808138,0.248120456,0,36,high
11.88176723,18.38763311,0.508586783,0,6,low
8.833116184,19.89796186,0.567000838,4,12,high
10.63520973,23.0801435,-0.161685251,2,4,low
6.905533686,26.70815433,-0.604041723,2,22,high
8.527041696,23.92175084,-0.208713106,1,28,high
9.500264018,14.63724915,-0.404201316,2,10,low
8.27528144,28.19891061,0.153375267,2,11,low
11.21980972,22.09620548,0.182973165,2,7,low
6.987569435,14.89077701,-0.00517715,1,42,high
10.22260838,23.64768856,-0.34164663,0,5,low
8.763847932,19.94398671,0.88068675,1,11,high
7.053776387,26.09679519,-0.395505133,4,35,high
8.932618523,30.07042602,0.250397454,4,26,high
8.493152469,18.94219122,-0.31474321,1,6,low
7.323314073,28.57810829,-0.870502132,1,31,high
7.511519555,30.63992609,-0.448042606,2,26,high
12.09249461,17.51274786,-0.816052426,3,23,high
10.35137783,16.94488553,-0.913522647,2,11,low
10.95529813,23.59738237,0.883142974,1,20,high
9.552872055,26.15891721,-0.355829413,1,8,low
9.702348991,21.68349667,-0.745583304,1,11,low
6.243188292,30.81453993,0.897260528,4,19,high
8.307345803,26.81827856,-0.421645259,2,29,high
7.795115903,24.23551733,-0.890388709,4,9,high
9.463394616,21.69612659,0.041074892,2,37,high
11.22837499,14.8936419,-0.054497226,0,10,low
10.98200845,24.70875758,-0.029036213,1,7,low
11.8796634,23.22792338,-0.890554393,1,5,low
8.129541573,27.81345416,-0.453102642,2,48,high
9.2344724,30.25706332,-0.551167321,2,9,low
7.791225676,19.9419845,-0.804149318,0,43,high
7.975274643,22.59095094,-0.231857983,2,4,low
12.24404137,17.38091213,0.219861786,2,7,low
11.8707066,24.70126775,-0.723734211,2,8,low
8.592128103,25.17280592,-0.519294964,0,4,low
7.025082621,25.39694442,-0.132075287,1,7,low
8.720670878,20.018834,0.089179138,1,3,low
9.337317102,31.39508007,0.8325624,0,12,low
8.337225007,22.40436317,0.980879843,1,5,high
8.804802548,20.50940993,0.253086021,4,18,high
7.987777721,27.52632937,-0.371930383,0,26,high
7.409411859,31.2516718,0.575636093,0,9,low
9.877820671,32.58659616,0.556100924,0,8,low
9.693379573,29.32782603,0.670176806,0,3,low
6.760372939,28.34637033,0.989747238,4,5,high
11.47349756,16.56098691,0.623677404,2,9,high
12.2614571,13.72761082,0.452322738,1,11,low
9.130368625,17.05088417,-0.55127461,4,27,high
9.344143615,24.41582115,-0.085006524,2,5,low
8.036282186,31.21644337,-0.191837726,1,28,high
7.803196172,26.8917743,0.648756655,0,6,low
11.24132106,18.20000808,-0.746481237,2,10,low
9.510641128,14.10137009,0.147280575,2,5,low
6.499543942,25.02185913,0.6180662,0,48,high
9.495388586,25.19830144,-0.647922364,2,4,low
10.82205535,23.74282777,-0.563395564,3,41,high
7.49101797,24.93436987,-0.150449438,2,45,high
8.963453423,31.49897181,-0.8231422,2,7,low
9.61361414,24.27673068,-0.423272727,0,10,low
9.231006502,21.47545099,0.862371413,1,7,low
10.27094845,24.34407913,-0.497860965,0,32,high
7.771831977,28.56305165,-0.611203323,2,12,low
8.190594362,23.4916468,0.051390426,0,31,high
8.035670926,19.34883452,0.909589914,2,7,low
8.036335965,25.2617387,-0.453459163,0,8,low
7.362168622,21.57044689,-0.390312959,2,15,high
7.620469465,23.69206285,-0.177370821,1,41,high
8.360132752,22.99570433,-0.230110061,0,33,high
9.240898185,18.99692953,-0.368180241,3,19,high
10.0350311,25.89003874,-0.941036429,0,6,low
8.888552401,28.42513135,0.529681704,4,16,high
7.682411162,22.62689173,-0.480390321,1,43,high
11.67543378,16.63142497,-0.508413476,1,4,low
7.661988107,35.23405852,-0.929634735,0,48,high
9.269757809,24.44190683,0.299477302,0,3,low
8.337194044,24.97344147,0.134251398,0,10,low
9.420835321,22.66797739,-0.343995529,3,29,high
10.29710166,24.87168802,-0.560599481,2,9,low
7.742470087,25.31637126,-0.723705835,4,37,high
11.04058679,17.7168991,0.056035469,2,9,low
8.096814283,26.92382164,0.056960937,0,3,low
7.597944152,24.22684767,0.374157421,4,8,high
10.08117243,23.77457789,0.463516123,2,8,low
9.971887699,19.84142425,-0.277833418,0,12,low
9.159001031,26.421115,-0.757386477,1,19,high
7.697765728,28.25929765,-0.764894319,1,5,high
7.036071607,25.10106321,-0.466059588,3,21,high
7.283778934,27.25707121,0.922548157,1,8,low
10.77849563,19.94156828,-0.986825315,2,10,low
9.25889327,22.70252629,-0.275460972,2,14,high
9.115455005,29.23206999,0.227857334,4,30,high
7.842763959,28.92959464,0.729120366,1,4,high
9.784093563,26.2252976,-0.228006091,1,7,low
7.28126113,31.31069591,0.721059554,2,29,high
7.044836973,25.09742399,0.737166765,1,43,high
9.30590823,27.82901562,-0.419364506,1,8,low
9.260858305,17.69600541,-0.804947777,2,12,low
7.807553613,33.49755817,0.007911023,3,32,high
9.437241739,20.23474978,-0.870557426,4,12,high
9.348368809,14.84215873,-0.677648396,1,43,high
9.548295523,22.3227298,-0.997945915,0,5,high
9.679787845,17.95228265,0.69213877,1,8,low
9.357870099,26.8607965,-0.744314567,1,6,low
5.755875844,34.25485211,-0.132407565,0,43,high
9.373538254,27.83594902,-0.943833534,0,6,low
7.075626246,27.84953909,-0.885507237,4,33,high
7.403563962,28.55916144,-0.058299896,2,30,high
8.916260702,19.44034888,-0.244419843,2,12,high
8.219772511,29.61339355,-0.79174921,1,40,high
9.751643102,31.00152358,-0.637717145,0,7,low
10.18647607,29.99419761,-0.546709358,0,10,low
7.878526941,20.16802202,0.186145505,0,9,low
7.349991663,31.45505624,-0.546085827,1,27,high
6.900279118,33.16565828,-0.874588731,2,42,high
11.04500694,25.90488329,0.059611982,1,8,low
7.37127365,35.25187272,-0.974087994,2,18,high
8.890828438,12.95077554,-0.120927161,1,5,low
9.140419314,28.18813257,0.023584946,0,9,low
10.79811734,18.52323325,0.253817873,2,8,low
7.884978497,19.80566127,0.688053347,2,35,high
6.962952968,22.77992079,-0.010278189,4,38,high
10.28782847,19.70888426,0.164718717,2,5,low
9.035779163,25.23973442,0.138120646,4,12,high
10.3408524,17.8802014,0.859415515,0,5,low
10.49963233,21.43241785,-0.239272894,2,3,low
9.000615222,24.19854115,0.046169402,1,6,low
10.23441177,22.84359579,-0.647988857,0,8,low
9.373050755,25.11992609,0.543624079,3,27,high
7.282776394,25.41162126,-0.209247019,4,11,high
9.381293275,25.02442042,-0.466855488,2,9,low
11.52470689,27.09724006,0.226007769,2,11,low
9.664397193,23.76011951,-0.044858888,1,12,low
8.328717412,27.7919046,-0.652742924,3,20,high
9.049541477,22.4385851,-0.516706641,1,21,high
10.23358695,21.56328223,0.161733409,1,9,low
10.17012378,20.55704743,0.081527203,2,7,low
7.09122212,15.49551804,-0.456472922,1,3,high
7.938950528,24.5438059,0.86935242,1,9,low
10.93816291,15.62833766,0.499349772,2,8,low
10.37872132,19.33243515,-0.421567446,3,37,high
10.95155717,19.85247808,-0.923645334,0,3,low
9.611414742,16.85472592,-0.507808684,1,17,high
10.13912554,27.08838599,-0.063574983,0,7,low
6.803166498,35.90207116,0.277278677,1,35,high
9.528807122,23.04425059,-0.154983371,1,8,low
7.696687561,19.10177938,0.019261154,2,18,high
10.9425955,18.54046066,-0.653805991,2,9,low
9.810253022,21.81948275,-0.724832093,2,9,low
9.90259908,26.62095813,-0.40238182,1,9,low
